Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
6/30/2020,"1,115,510",-79.10%,"1,082,000",-48%,"58,000",-83%,"40,900",-86%,"15,291",-48.20%,"758,785",-19.90%
6/29/2020,"1,103,086",-78.80%,"1,087,500",-47%,"63,300",-81%,"42,600",-86%,"14,705",-44.80%,"767,165",-19.90%
6/28/2020,"536,488",-82.30%,"641,800",-42%,"25,700",-74%,"26,200",-76%,"5,748",-66.30%,"623,131",-33.20%
6/27/2020,"616,084",-80.70%,"753,900",-43%,"26,800",-78%,"34,800",-78%,"8,541",-46.90%,"630,731",-34.80%
6/26/2020,"1,104,497",-79.80%,"1,130,100",-43%,"55,600",-83%,"41,500",-86%,"15,048",-46.00%,"830,887",-20.50%
6/25/2020,"1,081,006",-80.90%,"1,088,500",-48%,"53,400",-84%,"38,200",-87%,"14,854",-49.80%,"781,618",-25.20%
6/24/2020,"1,070,527",-81.50%,"1,099,900",-51%,"52,400",-84%,"38,000",-87%,"15,155",-50.70%,"752,750",-25.90%
6/23/2020,"1,053,005",-81.00%,"1,086,200",-48%,"52,900",-84%,"37,600",-87%,"15,069",-49.50%,"744,822",-22.10%
6/22/2020,"1,002,073",-81.50%,"1,016,200",-52%,"53,900",-84%,"38,400",-87%,"13,314",-51.00%,"733,291",-25.20%
6/21/2020,"449,497",-82.90%,"592,400",-47%,"27,100",-72%,"27,600",-75%,"6,328",-66.20%,"654,914",-32.40%
6/20/2020,"576,097",-82.60%,"768,500",-45%,"29,000",-76%,"36,000",-77%,"8,185",-53.00%,"666,226",-33.60%
6/19/2020,"988,680",-82.20%,"1,035,300",-45%,"50,200",-85%,"38,800",-87%,"13,868",-51.40%,"797,519",-22.30%
6/18/2020,"944,318",-83.40%,"977,700",-52%,"47,900",-86%,"35,800",-88%,"13,808",-53.90%,"729,487",-27.00%
6/17/2020,"950,318",-83.40%,"977,200",-55%,"47,200",-86%,"36,300",-88%,"14,595",-53.20%,"709,680",-26.80%
6/16/2020,"934,545",-83.30%,"961,000",-54%,"46,900",-86%,"34,100",-88%,"12,939",-57.10%,"695,359",-25.30%
6/15/2020,"898,925",-83.50%,"940,900",-57%,"47,500",-86%,"34,500",-88%,"12,953",-52.50%,"674,785",-29.00%
6/14/2020,"430,446",-81.50%,"571,200",-45%,"20,900",-79%,"22,700",-79%,"5,195",-72.10%,"563,725",-39.50%
6/13/2020,"545,333",-83.00%,"706,800",-50%,"25,400",-79%,"32,400",-80%,"7,794",-56.60%,"631,065",-37.50%
06/12/2020,"898,314",-84.30%,"966,300",-57%,"45,100",-86%,"33,700",-89%,"13,224",-54.20%,"765,492",-26.50%
06/11/2020,"819,873",-85.60%,"830,100",-62%,"41,000",-88%,"29,100",-90%,"12,514",-57.60%,"656,696",-32.40%
06/10/2020,"858,782",-85.40%,"914,700",-61%,"43,100",-87%,"30,800",-90%,"13,616",-57.50%,"680,270",-30.60%
06/09/2020,"843,968",-85.30%,"916,900",-59%,"42,300",-87%,"29,500",-90%,"12,869",-56.20%,"680,462",-29.10%
06/08/2020,"806,138",-84.70%,"863,400",-58%,"42,600",-87%,"30,500",-90%,"11,957",-54.10%,"644,830",-26.50%
06/07/2020,"378,085",-85.40%,"531,900",-51%,"16,800",-83%,"18,500",-83%,"4,650",-74.10%,"538,419",-39.60%
06/06/2020,"464,207",-85.80%,"648,000",-54%,"18,100",-85%,"23,600",-85%,"6,591",-63.10%,"551,793",-43.00%
06/05/2020,"704,825",-87.60%,"772,900",-65%,"33,500",-90%,"25,200",-91%,"11,698",-59.50%,"643,562",-37.60%
06/04/2020,"728,018",-87.30%,"797,700",-63%,"29,800",-91%,"25,500",-91%,"12,000",-59.80%,"650,868",-35.20%
06/03/2020,"683,037",-88.10%,"741,200",-68%,"32,500",-90%,"23,500",-92%,"11,962",-61.30%,"582,624",-39.70%
06/02/2020,"695,276",-87.40%,"724,400",-66%,"33,800",-90%,"24,600",-92%,"11,206",-62.20%,"579,412",-39.10%
06/01/2020,"688,520",-87.60%,"764,300",-66%,"34,300",-90%,"24,500",-92%,"10,760",-62.20%,"595,060",-37.80%
5/31/2020,"344,428",-86.40%,"468,300",-57%,"13,600",-86%,"14,700",-86%,"4,216",-76.70%,"495,488",-44.70%
5/30/2020,"426,755",-86.50%,"622,000",-56%,"15,600",-87%,"20,300",-87%,"6,143",-64.60%,"537,180",-44.40%
5/29/2020,"658,353",-88.60%,"720,800",-67%,"25,100",-92%,"21,200",-93%,"10,185",-63.50%,"598,608",-43.00%
5/28/2020,"659,248",-88.50%,"710,800",-68%,"25,200",-92%,"20,400",-93%,"10,030",-65.00%,"584,629",-40.10%
5/27/2020,"675,705",-88.10%,"719,200",-67%,"26,500",-92%,"21,000",-93%,"11,088",-62.30%,"601,140",-36.60%
5/26/2020,"657,939",-87.90%,"709,000",-67%,"26,700",-92%,"21,800",-92%,"9,875",-65.10%,"587,270",-36.60%
5/25/2020,"394,359",-84.90%,"531,600",-54%,"19,300",-94%,"19,000",-93%,"5,428",-49.70%,"445,015",-43.50%
5/24/2020,"320,376",-87.40%,"461,200",-57%,"11,900",-88%,"14,100",-86%,"4,117",-77.70%,"461,171",-47.40%
5/23/2020,"336,250",-88.80%,"460,700",-65%,"11,000",-91%,"14,000",-91%,"5,550",-65.00%,"394,091",-56.40%
5/22/2020,"634,929",-88.30%,"690,200",-69%,"22,800",-93%,"19,900",-93%,"9,782",-64.80%,"626,984",-40.40%
5/21/2020,"630,367",-88.90%,"655,300",-70%,"22,600",-93%,"19,200",-93%,"9,731",-67.30%,"585,553",-42.20%
5/20/2020,"624,793",-89.40%,"654,800",-72%,"22,200",-93%,"18,500",-94%,"10,224",-67.30%,"542,409",-45.30%
5/19/2020,"611,951",-89.60%,"643,600",-72%,"21,600",-93%,"18,700",-93%,"9,290",-69.10%,"524,483",-45.90%
5/18/2020,"596,505",-89.30%,"624,200",-72%,"22,100",-93%,"19,200",-93%,"8,969",-67.50%,"505,315",-47.70%
5/17/2020,"287,755",-89.00%,"413,500",-63%,"8,800",-91%,"3,300",-97%,"3,577",-80.90%,"391,606",-58.70%
5/16/2020,"361,329",-89.40%,"530,600",-63%,"11,100",-91%,"18,400",-88%,"5,947",-66.30%,"477,098",-52.10%
5/15/2020,"588,784",-89.70%,"671,500",-70%,"20,100",-94%,"45,300",-84%,"9,473",-66.90%,"562,991",-46.60%
5/14/2020,"568,315",-90.40%,"616,000",-74%,"19,300",-94%,"16,400",-94%,"8,855",-70.60%,"520,395",-49.00%
5/13/2020,"566,333",-90.40%,"611,300",-74%,"19,400",-94%,"17,200",-94%,"9,437",-70.50%,"509,243",-47.90%
05/12/2020,"554,286",-90.40%,"594,900",-74%,"19,000",-94%,"16,700",-94%,"8,271",-72.10%,"488,406",-47.90%
05/11/2020,"521,702",-90.40%,"553,300",-74%,"18,300",-94%,"16,700",-94%,"7,636",-71.00%,"458,042",-49.40%
05/10/2020,"272,353",-86.90%,"386,000",-54%,"8,000",-92%,"9,200",-91%,"3,962",-79.80%,"415,868",-51.20%
05/09/2020,"317,372",-90.10%,"462,400",-68%,"7,700",-94%,"11,100",-93%,"5,055",-72.20%,"371,426",-62.60%
05/08/2020,"526,865",-90.70%,"573,700",-75%,"15,700",-95%,"15,200",-95%,"8,656",-69.60%,"483,831",-52.60%
05/07/2020,"536,003",-90.90%,"605,600",-74%,"16,100",-95%,"16,200",-94%,"8,509",-72.40%,"488,836",-50.50%
05/06/2020,"509,646",-91.30%,"538,800",-78%,"14,500",-95%,"14,700",-95%,"8,832",-72.30%,"444,179",-53.80%
05/05/2020,"522,979",-91.00%,"583,400",-75%,"13,300",-96%,"15,500",-95%,"8,445",-72.70%,"462,086",-50.60%
05/04/2020,"512,763",-90.90%,"578,300",-75%,"11,200",-97%,"15,800",-94%,"8,287",-70.70%,"447,424",-51.80%
05/03/2020,"259,199",-88.90%,"375,900",-55%,"3,300",-97%,"7,600",-93%,"3,263",-81.40%,"353,314",-55.70%
05/02/2020,"326,354",-89.90%,"478,600",-66%,"4,000",-97%,"10,900",-93%,"5,493",-68.80%,"401,938",-57.00%
05/01/2020,"495,312",-91.40%,"555,300",-75%,"6,200",-98%,"12,400",-96%,"8,332",-71.00%,"445,621",-55.90%
4/30/2020,"466,633",-92.10%,"488,800",-79%,"9,300",-97%,"14,400",-95%,"7,253",-75.50%,"405,169",-58.80%
4/29/2020,"478,589",-91.80%,"519,600",-78%,"9,100",-97%,"14,800",-95%,"7,844",-74.50%,"410,502",-56.90%
4/28/2020,"490,073",-91.50%,"555,600",-76%,"9,200",-97%,"15,400",-95%,"7,542",-74.50%,"436,347",-53.00%
4/27/2020,"463,700",-91.70%,"518,400",-77%,"8,800",-97%,"15,000",-95%,"6,922",-74.60%,"384,124",-57.60%
4/26/2020,"219,096",-90.90%,"293,500",-70%,"1,900",-98%,"5,400",-95%,"2,506",-85.70%,"231,541",-72.40%
4/25/2020,"295,836",-90.90%,"430,800",-68%,"2,900",-97%,"9,100",-94%,"4,719",-71.20%,"350,300",-62.00%
4/24/2020,"444,644",-91.20%,"475,400",-73%,"7,800",-97%,"13,200",-95%,"7,040",-72.30%,"386,935",-57.10%
4/23/2020,"454,300",-91.70%,"487,300",-75%,"8,400",-97%,"13,800",-95%,"6,969",-75.10%,"386,938",-58.90%
4/22/2020,"459,574",-91.50%,"518,900",-74%,"8,700",-97%,"14,100",-95%,"7,496",-74.40%,"398,703",-57.70%
4/21/2020,"422,860",-92.20%,"450,900",-78%,"8,300",-97%,"13,700",-95%,"6,613",-76.10%,"356,099",-61.80%
4/20/2020,"438,622",-91.10%,"498,700",-73%,"8,900",-97%,"14,800",-95%,"7,050",-70.50%,"371,776",-59.60%
4/19/2020,"224,751",-90.40%,"318,100",-68%,"2,200",-98%,"6,000",-94%,"2,742",-85.80%,"276,406",-68.60%
4/18/2020,"254,792",-91.00%,"352,000",-71%,"2,400",-98%,"7,200",-95%,"4,202",-71.60%,"254,735",-69.80%
4/17/2020,"433,106",-90.90%,"470,300",-73%,"8,300",-97%,"13,500",-95%,"7,048",-71.20%,"378,350",-60.80%
4/16/2020,"421,013",-92.90%,"447,000",-80%,"8,500",-97%,"13,800",-95%,"6,563",-77.80%,"346,342",-65.40%
4/15/2020,"419,851",-93.00%,"454,100",-81%,"8,600",-97%,"13,800",-95%,"6,928",-78.00%,"340,213",-64.90%
4/14/2020,"430,946",-92.70%,"470,900",-80%,"8,800",-97%,"14,100",-95%,"6,585",-78.10%,"356,104",-62.40%
4/13/2020,"363,961",-93.50%,"347,800",-84%,"8,200",-97%,"13,000",-95%,"6,205",-77.80%,"284,609",-68.70%
04/12/2020,"198,693",-92.00%,"279,100",-72%,"2,200",-98%,"5,100",-95%,"2,525",-86.40%,"217,871",-74.40%
04/11/2020,"257,467",-92.20%,"378,200",-73%,"2,700",-98%,"7,600",-95%,"4,235",-76.00%,"254,755",-73.10%
04/10/2020,"400,947",-93.00%,"414,100",-81%,"8,200",-97%,"13,000",-95%,"5,378",-81.50%,"314,100",-68.60%
04/09/2020,"405,325",-93.00%,"401,900",-83%,"8,400",-97%,"12,900",-96%,"6,243",-80.10%,"303,481",-68.80%
04/08/2020,"428,206",-92.70%,"431,700",-82%,"9,000",-97%,"13,500",-95%,"6,950",-78.30%,"324,882",-65.80%
04/07/2020,"435,718",-92.40%,"441,000",-81%,"9,300",-97%,"14,100",-95%,"7,041",-76.70%,"335,470",-63.30%
04/06/2020,"446,273",-92.00%,"454,900",-80%,"10,100",-97%,"14,400",-95%,"7,093",-75.00%,"335,769",-63.10%
04/05/2020,"227,603",-90.90%,"299,600",-70%,"3,000",-97%,"5,600",-95%,"2,763",-85.60%,"209,152",-76.60%
04/04/2020,"282,703",-91.40%,"383,400",-73%,"3,700",-97%,"8,100",-95%,"4,375",-75.50%,"243,323",-74.00%
04/03/2020,"484,200",-91.50%,"483,800",-78%,"9,700",-97%,"13,200",-95%,"7,794",-72.70%,"340,273",-65.10%
04/02/2020,"486,468",-91.80%,"472,700",-80%,"10,100",-97%,"13,700",-95%,"7,077",-77.50%,"339,734",-65.20%
04/01/2020,"514,201",-91.30%,"495,400",-79%,"10,500",-97%,"13,600",-95%,"8,151",-74.80%,"342,222",-63.30%
3/31/2020,"509,149",-91.20%,"514,300",-78%,,,,,"7,672",-74.30%,"337,626",-62.70%
3/30/2020,"546,355",-90.20%,"563,900",-75%,,,,,"8,084",-71.70%,"344,690",-61.60%
3/29/2020,"264,119",-88.30%,"306,800",-69%,,,,,"3,374",-80.60%,"197,154",-75.80%
3/28/2020,"332,993",-89.80%,"403,700",-71%,,,,,"4,491",-74.00%,"240,702",-74.10%
3/27/2020,"658,312",-88.20%,"641,800",-71%,,,,,"8,409",-70.60%,"396,778",-59.80%
3/26/2020,"681,923",-88.20%,"646,100",-72%,,,,,"8,795",-71.20%,"390,117",-59.70%
3/25/2020,"691,604",-87.90%,"618,000",-73%,,,,,"9,512",-69.80%,"375,767",-59.40%
3/24/2020,"743,314",-86.90%,"657,800",-72%,,,,,"9,133",-69.90%,"395,493",-56.30%
3/23/2020,"711,138",-86.90%,"578,200",-74%,,,,,"9,902",-65.20%,"361,514",-59.30%
3/22/2020,"409,364",-83.10%,"378,900",-65%,,,,,"4,824",-73.90%,"277,051",-68.20%
3/21/2020,"620,662",-79.50%,"564,900",-57%,,,,,"6,467",-60.80%,"382,993",-56.70%
3/20/2020,"1,312,249",-76.10%,"868,600",-59%,,,,,"12,744",-54.70%,"563,262",-41.60%
3/19/2020,"1,425,564",-74.40%,"933,600",-57%,,,,,"14,116",-51.70%,"569,696",-38.00%
3/18/2020,"1,629,413",-71.40%,"1,059,500",-55%,,,,,"15,942",-50.00%,"634,853",-31.20%
3/17/2020,"1,793,359",-68.20%,"1,094,900",-53%,,,,,"18,173",-40.60%,"650,445",-28.40%
3/16/2020,"2,184,296",-59.50%,"1,237,300",-45%,,,,,"21,145",-24.40%,"708,870",-20.60%
3/15/2020,"1,159,079",-52.40%,"711,600",-31%,,,,,"12,480",-31.70%,"535,988",-36.40%
3/14/2020,"1,672,800",-47.50%,"993,300",-27%,,,,,"13,394",-20.90%,"631,101",-30.20%
3/13/2020,"3,496,765",-38.00%,"1,715,700",-23%,,,,,"26,640",-8.20%,"860,419",-13.80%
03/12/2020,"4,163,674",-28.40%,"1,938,400",-18%,,,,,"30,814",-1.50%,"881,188",-8.70%
03/11/2020,"4,712,462",-18.50%,"2,113,000",-10%,,,,,"32,198",0.60%,"866,706",-6.70%
03/10/2020,"4,883,623",-15.10%,"2,112,000",-9%,,,,,"31,315",2.10%,"855,585",-5.80%
03/09/2020,"4,989,635",-10.40%,"2,124,800",-7%,,,,,"29,609",2.70%,"860,073",-4.70%
03/08/2020,"2,122,328",0.40%,"957,200",7%,,,,,"19,477",13.40%,"765,084",-0.60%
03/07/2020,"2,817,082",-9.60%,"1,249,100",-9%,,,,,"18,117",3.70%,"827,908",-7.60%
03/06/2020,"5,204,732",-8.40%,"2,066,700",-7%,,,,,"30,970",6.70%,"945,408",-4.00%
03/05/2020,"5,513,656",-4.40%,"2,244,500",-1%,,,,,"33,209",7.10%,"929,298",-0.90%
03/04/2020,"5,515,945",-3.20%,"2,177,200",-3%,,,,,"34,297",8.70%,"905,558",-0.10%
03/03/2020,"5,498,556",-3.90%,"2,228,600",-3%,,,,,"32,767",6.90%,"882,175",-1.70%
03/02/2020,"5,347,055",23.90%,"2,209,100",40%,,,,,"30,338",28.20%,"874,620",27.50%
03/01/2020,"2,214,601",-1.30%,"984,900",1%,,,,,"19,922",18.80%,"786,961",7.80%
