08/18/2020,283,,,,,,,
08/19/2020,257,,,,,,,
08/20/2020,227,,,,,,,
08/21/2020,252,,,,,,,
08/22/2020,136,,,,,,,
08/23/2020,150,,,,,,,
08/24/2020,297,,,,,,,
08/25/2020,283,,,,,,,
08/26/2020,313,,,,,,,
08/27/2020,274,,,,,,,
08/28/2020,280,,,,,,,
08/29/2020,128,,,,,,,
08/30/2020,186,,,,,,,
08/31/2020,315,,,,,,,
1/9/2020,294,,,,,,,
2/9/2020,271,,,,,,,
3/9/2020,273,,,,,,,
4/9/2020,230,,,,,,,
5/9/2020,156,,,,,,,
6/9/2020,207,,,,,,,
7/9/2020,218,,,,,,,
8/9/2020,393,,,,,,,
9/9/2020,353,,,,,,,
10/9/2020,323,,,,,,,
11/9/2020,313,,,,,,,
12/9/2020,202,,,,,,,
09/13/2020,263,,,,,,,
09/14/2020,462,,,,,,,
09/15/2020,415,,,,,,,
09/16/2020,457,,,,,,,
09/17/2020,441,,,,,,,
09/18/2020,292,,,,,,,
09/19/2020,216,,,,,,,
09/20/2020,221,,,,,,,
09/21/2020,559,,,,,,,
09/22/2020,499,,,,,,,
09/23/2020,614,,,,,,,
09/24/2020,543,,,,,,,
09/25/2020,462,,,,,,,
09/26/2020,280,,,,,,,
09/27/2020,382,,,,,,,
09/28/2020,436,,,,,,,
09/29/2020,723,,,,,,,
09/30/2020,605,,,,,,,
1/10/2020,705,,,,,,,
2/10/2020,603,,,,,,,
3/10/2020,301,,,,,,,
4/10/2020,335,,,,,,,
5/10/2020,765,,,,,,,
6/10/2020,571,,,,,,,
7/10/2020,542,,,,,,,
8/10/2020,526,,,,,,,
9/10/2020,524,,,,,,,
10/10/2020,315,,,,,,,
11/10/2020,281,,,,,,,
12/10/2020,515,,,,,,,
10/13/2020,589,,,,,,,
10/14/2020,583,,,,,,,
10/15/2020,604,,,,,,,
10/16/2020,503,,,,,,,
10/17/2020,366,,,,,,,
10/18/2020,412,,,,,,,
10/19/2020,626,,,,,,,
10/20/2020,601,,,,,,,
10/21/2020,653,,,,,,,
10/22/2020,759,,,,,,,
10/23/2020,601,,,,,,,
10/24/2020,386,,,,,,,
10/25/2020,361,,,,,,,
10/26/2020,695,,,,,,,
10/27/2020,741,,,,,,,
10/28/2020,783,,,,,,,
10/29/2020,621,,,,,,,
10/30/2020,653,,,,,,,
10/31/2020,403,,,,,,,
1/11/2020,501,,,,,,,
2/11/2020,953,,,,,,,
3/11/2020,903,,,,,,,
4/11/2020,1112,,,,,,,
5/11/2020,1139,,,,,,,
6/11/2020,1036,,,,,,,
7/11/2020,845,,,,,,,
8/11/2020,788,,,,,,,
9/11/2020,1545,,,,,,,
10/11/2020,1598,,,,,,,
11/11/2020,1539,,,,,,,
12/11/2020,1501,,,,,,,
11/13/2020,1494,,,,,,,
11/14/2020,1026,,,,,,,
11/15/2020,896,,,,,,,
11/16/2020,1832,,,,,,,
11/17/2020,1729,,,,,,,
11/18/2020,1753,,,,,,,
11/19/2020,1857,,,,,,,
11/20/2020,1773,,,,,,,
11/21/2020,1290,,,,,,,
11/22/2020,1148,,,,,,,
11/23/2020,2315,,,,,,,
11/24/2020,2072,,,,,,,
11/25/2020,2369,,,,,,,
11/26/2020,807,,,,,,,
11/27/2020,2296,,,,,,,
11/28/2020,1786,,,,,,,
11/29/2020,1728,,,,,,,
11/30/2020,2802,,,,,,,
1/12/2020,3137,,,,,,,
2/12/2020,3007,,,,,,,
3/12/2020,2876,,,,,,,
4/12/2020,2810,,,,,,,
5/12/2020,1884,,,,,,,
6/12/2020,1754,,,,,,,
7/12/2020,3302,,,,,,,
8/12/2020,3060,,,,,,,
9/12/2020,3107,,,,,,,
10/12/2020,3149,,,,,,,
11/12/2020,2978,,,,,,,
12/12/2020,2206,,,,,,,
12/13/2020,2176,,,,,,,
12/14/2020,3577,,,,,,,
12/15/2020,3679,,,,,,,
12/16/2020,2784,,,,,,,
12/17/2020,1924,,,,,,,
12/18/2020,3428,,,,,,,
12/19/2020,2555,,,,,,,
12/20/2020,2348,,,,,,,
12/21/2020,4335,,,,,,,
12/22/2020,4097,,,,,,,
12/23/2020,3844,,,,,,,
12/24/2020,3014,,,,,,,
12/25/2020,1046,,,,,,,
12/26/2020,3454,,,,,,,
12/27/2020,2886,,,,,,,
12/28/2020,5389,,,,,,,
12/29/2020,5204,,,,,,,
12/30/2020,4984,,,,,,,
12/31/2020,3393,,,,,,,
1/1/2021,1336,,,,,,,
2/1/2021,4189,,,,,,,
3/1/2021,3454,,,,,,,
4/1/2021,6593,,,,,,,
5/1/2021,6152,,,,,,,
6/1/2021,5676,,,,,,,
7/1/2021,5433,,,,,,,
8/1/2021,5295,,,,,,,
9/1/2021,3689,,,,,,,
10/1/2021,3198,,,,,,,
11/1/2021,5910,,,,,,,
12/1/2021,5232,,,,,,,
01/13/2021,5171,,,,,,,
01/14/2021,5258,,,,,,,
01/15/2021,4838,,,,,,,
01/16/2021,3479,,,,,,,
01/17/2021,2918,,,,,,,
01/18/2021,4641,,,,,,,
01/19/2021,5142,,,,,,,
01/20/2021,4906,,,,,,,
01/21/2021,4938,,,,,,,
01/22/2021,4711,,,,,,,
01/23/2021,3275,,,,,,,
01/24/2021,2855,,,,,,,
01/25/2021,5660,,,,,,,
01/26/2021,4697,,,,,,,
01/27/2021,4780,,,,,,,
01/28/2021,4675,,,,,,,
01/29/2021,3668,,,,,,,
01/30/2021,2858,,,,,,,
01/31/2021,2891,,,,,,,
1/2/2021,975,,,,,,,
2/2/2021,2660,,,,,,,
3/2/2021,5143,,,,,,,
4/2/2021,4856,,,,,,,
5/2/2021,4157,,,,,,,
6/2/2021,3079,,,,,,,
